"Source","Target","NumEscroete"
"MARGRITAIN DE FIERIN","WATIER TREPIEL","II1"
"JEHAN LE TOILIER","GILLION DE LE CAMBE","II1"
"HIELOTAIN LE LANIERE","GILLION DE LE CAMBE","II1"
"HIELOTAIN LE LANIERE","ROBIERT LE CANGEUR","II1"
"EUBERI LE LEU","ROBIERT LE CANGEUR","II1"
"MARIEN LE RENBERHIERE","COLART LE BOURGOIS","II1"
"WATIER PORTE ESTEULE","COLART LE BOURGOIS","II1"
"JAKEMON PAINMOLLIÉ","YSABIEL LANGOISSEUSE","II1"
"JEHAN DE MIEREGNIES","WILLIAUME DE BIAUMONT","II1"
"WILLIAUME DE BIAUMONT","CLIMENT LE TONDEUR","II1"
"COLART DEBOUS","CLIMENT LE TONDEUR","II1"
"AGNIÉS DOU BREKIN","COLART LE BOURGOIS","II1"
"COLART LE BOURGOIS","MGR SAUWALON DE VREGELAI","II1"
"JAKEMON POURCIEL","MGR SAUWALON DE VREGELAI","II1"
"MGR SAUWALON DE VREGELAI","JAKEMON CAVETE","II1"
"JAKEMON POURCIEL","JAKEMON CAVETE","II1"
"FOUKIER LEUREUS","JAKEMON CAVETE","II1"
"JAKEMON POURCIEL","ESTIEVENON CHEVALIER","II1"
"COLART LE BOURGOIS","ESTIEVENON CHEVALIER","II1"
"ROBIERT DOU BREKIN","ESTIEVENON CHEVALIER","II1"
"MARIEN LE CANDELIERE","JEHAN D'ESTREES","II1"
"MARIEN DE HOUDAING","JEHAN D'ESTREES","II1"
"JEHAN LE CUVELIER","MIKIEL LE CAUCETEUR","II1"
"BAUDE L'ARTISIEN","MIKIEL LE CAUCETEUR","II1"
"PIERON LE TRUANT","BAUDE L'ARTISIEN","II1"
"BAUDE CAPELET","BAUDE L'ARTISIEN","II1"
"ROBERT D'ESTREES","BAUDE L'ARTISIEN","II1"
"JEHAN DE FRANCHE","BAUDE L'ARTISIEN","II1"
"ALENT DE BOUCHAIN","MARIEN LE COCH","II1"
"WILLIAUME MALET","MARIEN LE COCH","II1"
"JEHAN DE WAUCRES","JAKEMON AUDEGON","II1"
"MARIEN LE CAUDRELIERE","JAKEMON AUDEGON","II1"
"JAKEMON POURCIEL","JAKEMON AUDEGON","II1"
"ŒDAIN DE PROUVINS","BAUDE L'ARTISIEN","II1"
"GILLION L'ESKIEVIN","JAKEMON DE SAUDEMONT","II1"
"COKIN DE LANDAST","JAKEMON DE SAUDEMONT","II1"
"GILLION RUPAUT","ESTIEVENON DE DOREGNI","II1"
"ROGIER DOU FOUR","ESTIEVENON DE DOREGNI","II1"
"LES BOUKIAUS","WILLIAUME DE SAILLI","II1"
"WILLIAUME DE SAILLI","JAKEMON DE SAILLI","II1"
"EVAIN D'OISEMONT","JAKEMON DE SAILLI","II1"
"EVAIN D'OISEMONT","JEHAN LE GIERMAIN","II1"
"DOUCET LE GRIFON","JEHAN LE GIERMAIN","II1"
"JEHAN LE GIERMAIN","ukn10","II1"
"PIERON MALASIS","ukn10","II1"
"MARTIN DE TREHOURT","JAKEMON LE RENGHIER","II1"
"PIERON LE DUC","JAKEMON LE RENGHIER","II1"
"JAKEMON LE RENGHIER","NICHOLON LE MIGNOT","II1"
"GRART DE GANT","NICHOLON LE MIGNOT","II1"
"WILLIAUME WASCRELIE","JAKEMON D'ORCHIES","II1"
"JEHAN DUR DENIER","JAKEMON D'ORCHIES","II1"
"FOUKEUT DE CANTIN","AALIS DOU RIVAGE","II1"
"ROBIERT DE LAMBRES","AALIS DOU RIVAGE","II1"
"ROBIERT DE LAMBRES","MGR GRART GADOUL","II1"
"MARGOT CAUVETE","MGR GRART GADOUL","II1"
"CHATELINE LE FOURIERE","CRESTIENE LE MIGNOTE","II1"
"MARIEN LE RICHART","CRESTIENE LE MIGNOTE","II1"
"JULIANE CLINCHART","MEHAUT D'ESTREES","II1"
"JEHENNAIN TIESTE","PIERON DE HASNON","II1"
"PIERON DE HASNON","ukn11","II1"
"MARIIEN DE MONTEGNI","ukn11","II1"
"MARGOT DE MAGNI","ukn12","II1"
"MARGOT DE MAGNI","MARIIEN FLORENT","II1"
"SAINT AMANT","MARIIEN FLORENT","II1"
